accuracy_validation,accuracy_train,precision_validation,recall_validation,f1_validation,precision_train,recall_train,f1_train,activation,alpha,hidden_layer_sizes,learning_rate_init
0.68,0.9732262382864793,0.3448275862068966,0.3225806451612903,0.3333333333333333,0.9935897435897436,0.8908045977011494,0.9393939393939394,tanh,0.0001,"(15,)",0.001
0.708,0.9665327978580991,0.3829787234042553,0.2903225806451613,0.3302752293577982,0.9627329192546584,0.8908045977011494,0.9253731343283582,tanh,0.1,"(20,)",0.001
0.68,0.9196787148594378,0.3392857142857143,0.3064516129032258,0.3220338983050847,0.8958333333333334,0.7413793103448276,0.8113207547169812,relu,0.001,"(15,)",0.001
0.676,0.9879518072289156,0.3333333333333333,0.3064516129032258,0.31932773109243695,0.9824561403508771,0.9655172413793104,0.9739130434782609,relu,0.001,"(20,)",0.01
0.692,0.9745649263721553,0.35294117647058826,0.2903225806451613,0.3185840707964602,0.9696969696969697,0.9195402298850575,0.943952802359882,tanh,0.01,"(20,)",0.001
0.672,0.9879518072289156,0.3275862068965517,0.3064516129032258,0.31666666666666665,0.9881656804733728,0.9597701149425287,0.9737609329446064,tanh,0.01,"(15,)",0.01
0.688,0.9477911646586346,0.34615384615384615,0.2903225806451613,0.3157894736842105,0.972027972027972,0.7988505747126436,0.8769716088328076,tanh,0.1,"(15,)",0.001
0.68,0.9785809906291834,0.3333333333333333,0.2903225806451613,0.3103448275862069,0.9876543209876543,0.9195402298850575,0.9523809523809523,tanh,0.1,"(20,)",0.01
0.68,0.9129852744310576,0.3333333333333333,0.2903225806451613,0.3103448275862069,0.8707482993197279,0.735632183908046,0.7975077881619937,tanh,1.0,"(15, 15)",0.01
0.68,0.9692101740294511,0.3333333333333333,0.2903225806451613,0.3103448275862069,0.9870967741935484,0.8793103448275862,0.9300911854103343,tanh,0.01,"(15,)",0.001
0.656,0.9919678714859438,0.3064516129032258,0.3064516129032258,0.3064516129032258,0.9883720930232558,0.9770114942528736,0.9826589595375722,tanh,0.001,"(15,)",0.01
0.692,0.9692101740294511,0.3469387755102041,0.27419354838709675,0.3063063063063063,0.968944099378882,0.896551724137931,0.9313432835820895,relu,0.1,"(15, 15)",0.01
0.656,0.9946452476572959,0.3,0.2903225806451613,0.29508196721311475,0.9885057471264368,0.9885057471264368,0.9885057471264368,tanh,0.0001,"(20,)",0.01
0.656,0.9959839357429718,0.3,0.2903225806451613,0.29508196721311475,0.9942196531791907,0.9885057471264368,0.9913544668587896,tanh,0.001,"(20,)",0.01
